data_year,hid,pid,weight,dla_prob,rec_dla,scotland
2017,4266,120170426604,1246,0.014404333684014874,false,true
2017,5677,120170567703,1149,0.014404333684014874,false,true
2017,6098,120170609804,647,0.014404333684014874,false,true
2017,6214,120170621403,772,0.014404333684014874,false,true
2017,6228,120170622802,695,0.014404333684014874,false,true
2017,7657,120170765703,819,0.014404333684014874,false,true
2017,8771,120170877103,781,0.014404333684014874,false,true
2017,9218,120170921804,940,0.014404333684014874,false,true
2017,10885,120171088505,622,0.014404333684014874,false,true
2017,11330,120171133004,647,0.014404333684014874,false,true
2017,11860,120171186002,852,0.014404333684014874,false,true
2017,13410,120171341005,711,0.014404333684014874,false,true
2017,13672,120171367204,530,0.014404333684014874,false,true
2017,13672,120171367206,530,0.014404333684014874,false,true
2017,14225,120171422502,1123,0.014404333684014874,false,true
2017,16171,120171617103,590,0.014404333684014874,false,true
2017,16704,120171670404,800,0.014404333684014874,false,true
2018,4188,120180418803,986,0.014404333684014874,false,true
2018,5018,120180501803,797,0.014404333684014874,false,true
2018,5525,120180552503,672,0.014404333684014874,false,true
2018,8091,120180809105,861,0.014404333684014874,false,true
2018,8627,120180862702,943,0.014404333684014874,false,true
2018,9367,120180936705,782,0.014404333684014874,false,true
2018,9562,120180956204,657,0.014404333684014874,false,true
2018,9917,120180991704,692,0.014404333684014874,false,true
2018,11221,120181122104,727,0.014404333684014874,false,true
2018,12972,120181297203,637,0.014404333684014874,false,true
2018,14670,120181467003,1006,0.014404333684014874,false,true
2018,16460,120181646003,979,0.014404333684014874,false,true
2018,18193,120181819304,724,0.014404333684014874,false,true
2018,18265,120181826503,850,0.014404333684014874,false,true
2019,616,120190061603,581,0.014404333684014874,false,true
2019,865,120190086503,709,0.014404333684014874,false,true
2019,1003,120190100303,1558,0.014404333684014874,false,true
2019,2327,120190232703,980,0.014404333684014874,false,true
2019,3595,120190359504,595,0.014404333684014874,false,true
2019,4223,120190422303,795,0.014404333684014874,false,true
2019,8333,120190833303,767,0.014404333684014874,false,true
2019,9091,120190909104,732,0.014404333684014874,false,true
2019,9114,120190911405,615,0.014404333684014874,false,true
2019,9645,120190964502,605,0.014404333684014874,false,true
2019,9919,120190991903,813,0.014404333684014874,false,true
2019,10402,120191040204,619,0.014404333684014874,false,true
2019,10549,120191054903,723,0.014404333684014874,false,true
2019,11452,120191145202,594,0.014404333684014874,false,true
2019,12482,120191248205,843,0.014404333684014874,false,true
2019,14281,120191428103,626,0.014404333684014874,false,true
2019,14602,120191460203,592,0.014404333684014874,false,true
2019,14740,120191474002,608,0.014404333684014874,false,true
2019,15684,120191568402,586,0.014404333684014874,false,true
2019,16479,120191647903,1779,0.014404333684014874,false,true
2019,16808,120191680803,1339,0.014404333684014874,false,true
2019,16968,120191696802,611,0.014404333684014874,false,true
2019,17239,120191723904,631,0.014404333684014874,false,true
2019,17417,120191741702,577,0.014404333684014874,false,true
2019,17849,120191784903,640,0.014404333684014874,false,true
2019,18003,120191800303,587,0.014404333684014874,false,true
2019,18405,120191840502,616,0.014404333684014874,false,true
2020,3451,120200345103,2632,0.014404333684014874,false,true
2020,6590,120200659003,5016,0.014404333684014874,false,true
2020,7421,120200742102,2138,0.014404333684014874,false,true
2020,8754,120200875403,729,0.014404333684014874,false,true
2021,2580,120210258002,1599,0.014404333684014874,false,true
2021,3435,120210343504,1534,0.014404333684014874,false,true
2021,4066,120210406603,2221,0.014404333684014874,false,true
2021,5133,120210513303,1150,0.014404333684014874,false,true
2021,5361,120210536104,5246,0.014404333684014874,false,true
2021,5806,120210580602,983,0.014404333684014874,false,true
2021,10236,120211023603,1457,0.014404333684014874,false,true
2021,11784,120211178402,1053,0.014404333684014874,false,true
2021,11784,120211178403,1053,0.014404333684014874,false,true
2021,11812,120211181202,1081,0.014404333684014874,false,true
2015,1469,120150146904,785,0.01051450491141922,false,true
2015,7970,120150797004,1485,0.01051450491141922,false,true
2015,8402,120150840204,646,0.01051450491141922,false,true
2015,10842,120151084204,1001,0.01051450491141922,false,true
2015,11816,120151181604,1419,0.01051450491141922,false,true
2015,12182,120151218203,701,0.01051450491141922,false,true
2015,17543,120151754302,704,0.01051450491141922,false,true
2015,17786,120151778602,709,0.01051450491141922,false,true
2016,932,120160093204,581,0.01051450491141922,false,true
2016,6733,120160673302,556,0.01051450491141922,false,true
2016,10888,120161088804,860,0.01051450491141922,false,true
2016,11152,120161115204,773,0.01051450491141922,false,true
2016,12736,120161273605,679,0.01051450491141922,false,true
2016,16023,120161602304,683,0.01051450491141922,false,true
2016,18843,120161884304,691,0.01051450491141922,false,true
2017,4994,120170499403,721,0.01051450491141922,false,true
2017,6749,120170674903,645,0.01051450491141922,false,true
2017,9621,120170962102,591,0.01051450491141922,false,true
2017,10732,120171073202,532,0.01051450491141922,false,true
2017,15727,120171572703,923,0.01051450491141922,false,true
2017,15954,120171595402,850,0.01051450491141922,false,true
2017,18297,120171829704,588,0.01051450491141922,false,true
2018,374,120180037405,1075,0.01051450491141922,false,true
2018,2106,120180210604,749,0.01051450491141922,false,true
2018,3146,120180314603,879,0.01051450491141922,false,true
2018,3755,120180375504,982,0.01051450491141922,false,true
2018,5755,120180575503,852,0.01051450491141922,false,true
2018,8465,120180846503,762,0.01051450491141922,false,true
2018,8907,120180890704,727,0.01051450491141922,false,true
2018,10415,120181041503,621,0.01051450491141922,false,true
2018,10453,120181045305,734,0.01051450491141922,false,true
2019,5731,120190573103,644,0.01051450491141922,false,true
2019,6132,120190613204,958,0.01051450491141922,false,true
2019,8157,120190815702,770,0.01051450491141922,false,true
2019,8631,120190863103,618,0.01051450491141922,false,true
2019,14602,120191460204,592,0.01051450491141922,false,true
2019,17849,120191784902,640,0.01051450491141922,false,true
2019,17849,120191784904,640,0.01051450491141922,false,true
2019,18467,120191846702,931,0.01051450491141922,false,true
2020,772,120200077203,5745,0.01051450491141922,false,true
2020,8754,120200875404,729,0.01051450491141922,false,true
2021,990,120210099004,1693,0.01051450491141922,false,true
2021,2614,120210261403,2542,0.01051450491141922,false,true
2021,6284,120210628405,6454,0.01051450491141922,false,true
2021,7382,120210738203,435,0.01051450491141922,false,true
2021,14553,120211455304,1951,0.01051450491141922,false,true
2021,15792,120211579203,727,0.01051450491141922,false,true
2015,8934,120150893403,710,0.001471773941116523,false,true
2015,17967,120151796703,659,0.001471773941116523,false,true
2016,6622,120160662203,1133,0.001471773941116523,false,true
2016,821,120160082105,952,0.001471773941116523,false,true
2016,5212,120160521202,693,0.001471773941116523,false,true
2016,5212,120160521203,693,0.001471773941116523,false,true
2016,14160,120161416003,753,0.001471773941116523,false,true
2016,14408,120161440803,638,0.001471773941116523,false,true
