Date	England	Wales	Scotland	Total
201304	30	..	..	30
201305	243	..	..	243
201306	589	6	13	607
201307	1711	55	88	1855
201308	3078	139	236	3453
201309	4781	214	466	5465
201310	7523	276	1063	8863
201311	11531	377	1949	13853
201312	15509	550	2946	19003
201401	21600	1214	3803	26623
201402	27296	2124	4668	34089
201403	35244	3130	5757	44132
201404	43582	4869	6695	55155
201405	52684	5794	8325	66798
201406	63174	6721	9508	79410
201407	79960	8296	10983	99239
201408	104524	11546	14930	130997
201409	125689	15147	17720	158553
201410	155773	19233	20932	195939
201411	188904	24089	24316	237307
201412	221050	28223	28321	277599
201501	259877	32818	32550	325249
201502	293375	36387	36827	366583
201503	322474	39147	40585	402205
201504	349441	41464	44841	435740
201505	372807	43344	48313	464458
201506	399315	45249	51994	496556
201507	423378	47168	55296	525845
201508	443005	49020	58146	550170
201509	467251	51061	61381	579691
201510	491815	52889	64490	609195
201511	516608	54604	67963	639171
201512	539194	56413	70749	666351
201601	562298	57935	73798	694033
201602	590278	60523	78022	728820
201603	621794	64738	81846	768374
201604	656236	67980	86175	810393
201605	690111	73111	91211	854432
201606	721721	76549	96537	894803
201607	755954	79946	101832	937731
201608	794007	84559	105864	984431
201609	837584	88208	111293	1037082
201610	881960	91046	117521	1090530
201611	924343	93374	122403	1140124
201612	960473	95746	126788	1183009
201701	1000023	98861	132147	1231032
201702	1036403	101443	137680	1275526
201703	1078474	104284	143573	1326335
201704	1109045	106476	148063	1363585
201705	1145792	109411	153077	1408280
201706	1180817	112112	158274	1451203
201707	1212950	114941	163138	1491028
201708	1243350	117209	166648	1527206
201709	1271869	119487	170251	1561606
201710	1307473	122686	175437	1605589
201711	1341280	125739	178919	1645938
201712	1358896	127134	180740	1666776
201801	1387790	128875	183476	1700143
201802	1409302	130596	185804	1725704
201803	1433748	132114	188672	1754530
201804	1458166	134016	191025	1783207
201805	1485729	135626	195056	1816406
201806	1514729	137135	198695	1850561
201807	1543719	138334	201866	1883919
201808	1575541	140060	205654	1921256
201809	1604980	141797	210065	1956843
201810	1631059	143114	213749	1987918
201811	1652788	144382	216554	2013729
201812	1664516	145155	217466	2027139
201901	1682122	146934	220043	2049102
201902	1705711	149890	223169	2078775
201903	1720608	151299	225004	2096916
201904	1733300	152043	226699	2112041
201905	1751182	153622	228525	2133331
201906	1774283	155727	231314	2161321
201907	1807200	158713	235559	2201477
201908	1839476	162034	239264	2240774
201909	1872160	165320	244016	2281495
201910	1907123	168780	248145	2324053
201911	1932895	171431	251273	2355595
201912	1952874	173269	254129	2380274
202001	1969232	174891	256926	2401048
202002	1984546	176323	258905	2419776
202003	2011744	178468	263315	2453525
202004	2035938	180728	266093	2482762
202005	2057775	183260	268931	2509960
202006	2075790	185059	271212	2532064
202007	2094288	186073	273785	2554146
202008	2107885	186740	275335	2569959
202009	2124226	187751	277557	2589530
202010	2136728	188742	278937	2604408
202011	2151020	189765	280211	2620992
202012	2159761	190486	281031	2631276
202101	2167177	191206	281564	2639944
202102	2184309	192579	283635	2660520
202103	2203549	194174	285989	2683704
202104	2222208	195509	288135	2705857
