# Date	Employment (16+, millions)	Employment rate (16+, per cent)	Employees (16+, millions)	ILO unemployment (16+, millions)	ILO unemployment rate (16+, per cent)	Participation rate (16+, per cent)	Average hours worked	Total hours worked (millions)	Labour share (per cent)	Compensation of employees                    (£ billion) (a)	Wages and salaries (£ billion) (a-b)	Employers social contributions (£ billion) (b)	Mixed income (£ billion)	Average earnings growth (per cent)	Average earnings index (2008Q1=100)	Average hourly earnings index (2008Q1=100)	Productivity per hour index (2008Q1 =100)	Productivity per worker index (2008Q1 =100)	Real product wage (2008Q1 =100)	Real consumption wage (2008Q1 =100)	RPI	RPIX	CPI	Producer output prices	Mortgage interest payments	Actual rents for housing	Consumer expenditure deflator	GDP deflator	Bank Rate	3-month LIBOR	Long-term interest rates	Average mortgage rate	Trade-weighted sterling	US$/£ exchange rate	€/£ exchange rate	Oil prices ($)	Equity prices	Total compensation of employees	Gross operating surplus of private corporations	Other income	Gross value added at factor cost	Taxes on products and production less subsidies	Statistical discrepancy (income)	GDP at market prices	1.4 Nominal GDP (£ billion, non-seasonally adjusted)
Date	Employment	Employment rate	Employees	ILO unemployment	ILO unemployment rate	Participation rate	Average hours worked	Total hours worked	Labour share	Compensation of employees	Wages and salaries	Employers social contributions	Mixed income	Average earnings growth	Average earnings	Average hourly earnings	Productivity per hour	Productivity per worker	Real product wage	Real consumption wage	RPI	RPIX	CPI	Producer output prices	Mortgage interest payments	Actual rents for housing	Consumer expenditure deflator	GDP deflator	Bank Rate	three-month LIBOR	Long-term interest rates	Average mortgage rate	Trade-weighted sterling	dollar_exchange rate	euro_exchange rate	Dollar_Oil prices	Equity prices	Total compensation of employees	Gross operating surplus of private corporations	Other income	Gross value added at factor cost	Taxes on products and production less subsidies	Statistical discrepancy (income)	GDP at market prices	Nominal GDP
2015Q3	31.3328588945	60.097282532	26.7568588945	1.760333483	5.3193220617	63.4736504222	31.893964411	999.3290864769	62.4714568787	234.183	195.522	38.661	30.646	2.5490525948	112.9347419631	113.9293784727	101.7747788922	100.8862555613	101.6322237043	97.8804349216	259.3333333333	259	100.1416666667	106.9	241.9	100.5896666667	98.223570465	98.1	0.5	0.5843	2.485	3.0566666667	92.9031	1.5488	1.3937	50.03	3335.92	234.183	96.6175684	86.2544316	417.054	58.487	0	475.541	472.366
2015Q4	31.5396896945	60.3791316382	26.8596896945	1.6875594028	5.0788417599	63.6097712646	32.3095075748	1019.0318430905	62.431412492	235.184	195.933	39.251	30.835	1.8184625138	112.7388650406	112.269034784	100.3198102835	100.7396347016	101.6758876703	96.9706990242	259.9666666667	259.6333333333	100.294	106.3	240.6	101.1806666667	99.1876556571	97.9	0.5	0.5787	2.4842	3.01	92.2076	1.5173	1.3862	43.42	3444.26	235.184	97.2377476	86.8192524	419.241	58.533	0	477.774	485.25
2016Q1	31.572302105	60.326495412	26.858302105	1.6865691293	5.071035386	63.5490923738	32.1150420413	1013.9458094433	61.1271232079	233.322	194.39	38.932	31.15	1.448220955	111.8568091802	112.065156293	101.1322137387	100.9441927209	99.6582898824	96.0153794164	259.9666666667	259.6333333333	99.8353333333	106.3	240	101.4476666667	99.3865703049	99.1	0.5	0.58957	2.2665	2.95	87.0183	1.4307	1.2981	34.36	3295.9404615385	233.322	105.8979101	87.0890899	426.306	59.02	0	485.326	485.753
2016Q2	31.7467126352	60.545467661	26.9617126352	1.6432407395	4.9213627854	63.6793599853	32.0196382704	1016.5182548548	62.3154407773	240.398	199.228	41.17	31.617	2.387873208	114.2010142204	114.7546279035	101.308896911	100.8201498114	101.7748721152	98.1652830731	262.2	261.9666666667	100.426	107.1	239	101.507	99.7738709076	99.8	0.5	0.58398	2.1268	2.9033333333	85.5367	1.4342	1.2702	45.95	3404.6781538462	240.398	100.8736483	88.4193517	429.692	59.802	0	489.494	486.658
2016Q3	31.8103837546	60.5761900256	27.0233837546	1.6175381621	4.8388833925	63.6564514848	32.0291339329	1018.8590417334	62.7191160682	245.066	202.897	42.169	31.26	2.7484772806	116.0387276878	116.5666813588	101.6729099271	101.2124131075	103.2044184544	99.7036367189	264.2333333333	264.2	100.869	107.7	234.2	101.8743333333	99.9133922594	100.2	0.3423	0.43195	1.3861	2.82	78.843	1.3127	1.1763	45.8	3678.2363636364	245.066	100.4598692	88.3141308	433.84	59.89	0	493.73	490.693
2016Q4	31.8451138136	60.563881313	27.0421138136	1.5853060525	4.7421063176	63.5788583726	32.1197483146	1022.8570407425	61.7249538423	244.62	202.068	42.552	30.856	2.4354570552	115.4845716831	115.6827233187	102.2711001327	102.0959211156	102.6379437271	98.4694732455	265.8	266.0666666667	101.5086666667	108.9	226.9	102.1956666667	100.9115974602	100.9	0.25	0.38989	1.8673	2.6866666667	76.6058	1.2415	1.1515	50.08	3763.1824615385	244.62	107.0503948	88.0896052	439.762	61.212	0	500.974	506.42
2017Q1	31.9460146543	60.6782691044	27.1480146543	1.5274967111	4.5632999014	63.5795967817	32.2194383452	1029.2826495281	61.4771037632	246.675	203.342	43.333	31.172	3.4888713619	115.7593493621	115.5991873868	102.0225371447	102.1638887532	102.1813852087	98.1619768553	267.7333333333	268.1	101.9753333333	109.9	225	102.675	101.6799060789	101.7	0.25	0.35445	1.9011	2.6266666667	77.1158	1.2393	1.1627	54.12	3952.038	246.675	109.6680877	88.5679123	445.998	61.03	1.087	507.028	505.627
2017Q2	32.0652200804	60.8260619143	27.2582200804	1.4847196747	4.4254019098	63.6424982472	32.2702828383	1034.7537212696	62.1325831401	250.4	206.616	43.784	31.416	2.5802034833	117.1476327673	116.8012296088	101.7365452744	102.0382703567	103.2032722307	99.0494230798	271.5333333333	272	103.1806666667	110.7	224.4	102.606	101.8770242269	101.8	0.25	0.31145	1.7194	2.5866666667	77.9934	1.2807	1.1621	50.823015873	4045.2072307692	250.4	105.352851	88.632149	446.044	62.825	1.659	508.869	506.918
2017Q3	32.0631435147	60.7407299424	27.2531435147	1.429049807	4.2668146374	63.4479357522	31.9532973364	1024.523158267	62.0262849548	252.155	208.053	44.102	31.583	1.6767093127	117.9843598414	118.8024588532	103.2836092274	102.5723763164	103.537929501	99.6197580229	274.2333333333	274.8333333333	103.7103333333	111.2	223.2	102.7873333333	102.0227131818	102.3	0.25	0.29182	1.8158	2.5333333333	76.5321	1.3089	1.1144	52.23515625	4044.1218461539	252.155	107.1654696	88.5795304	450.006	64.252	2.106	514.258	510.663
2017Q4	32.1536190786	60.82993967	27.3776190786	1.4630712513	4.3522168214	63.5978562686	31.936089944	1026.8608709174	61.8706807719	254.707	211.335	43.372	31.693	3.3044060102	119.3006508107	120.1926026881	103.5148670388	102.7466809946	103.2993144632	99.4498164628	276.4	276.9666666667	104.576	112.1	226.3	102.8266666667	102.7620095564	103	0.4087	0.4709861905	1.8541	2.5166666667	77.7083	1.3267	1.1269	61.3295238095	4096.9291836735	254.707	109.7524294	88.8125706	455.611	63.863	2.339	519.474	526.421
