code,name,hhlds_2019,pop_2019,ppl_per_hh
S12000033,Aberdeen City,108381,228670,2.1098716565
S12000034,Aberdeenshire,112114,261210,2.3298606775
S12000041,Angus,54221,116200,2.143081094
S12000035,Argyll and Bute,41789,85870,2.0548469693
S12000036,City of Edinburgh,238269,524930,2.2030981789
S12000005,Clackmannanshire,23890,51540,2.1573880285
S12000006,Dumfries and Galloway,69699,148860,2.1357551758
S12000042,Dundee City,70685,149320,2.1124708212
S12000008,East Ayrshire,55387,122010,2.2028634878
S12000045,East Dunbartonshire,46228,108640,2.350090854
S12000010,East Lothian,46771,107090,2.2896666738
S12000011,East Renfrewshire,39345,95530,2.4280086415
S12000014,Falkirk,72672,160890,2.2139200793
S12000047,Fife,169239,373550,2.2072335573
S12000049,Glasgow City,294622,633120,2.1489230268
S12000017,Highland,109514,235830,2.1534233066
S12000018,Inverclyde,37614,77800,2.0683787951
S12000019,Midlothian,39733,92460,2.3270329449
S12000020,Moray,42932,95820,2.2319016119
S12000013,Na h-Eileanan Siar,12833,26720,2.0821320034
S12000021,North Ayrshire,64140,134740,2.1007171812
S12000050,North Lanarkshire,152443,341370,2.2393287983
S12000023,Orkney Islands,10589,22270,2.1031258854
S12000048,Perth and Kinross,69003,151950,2.2020781705
S12000038,Renfrewshire,86683,179100,2.0661490719
S12000026,Scottish Borders,54715,115510,2.1111212647
S12000027,Shetland Islands,10439,22920,2.1956126066
S12000028,South Ayrshire,52588,112610,2.1413630486
S12000029,South Lanarkshire,147434,320530,2.1740575444
S12000030,Stirling,39654,94210,2.3758006758
S12000039,West Dunbartonshire,43030,88930,2.0666976528
S12000040,West Lothian,78966,183100,2.3187194489
