"datayear"	"uniqidnew"	"shelter_1"	"shelter_2"	"shelter_3"	"tenure_1"	"tenure_2"	"tenure_3"	"singlepar_1"	"singlepar_2"	"singlepar_3"	"numadults_1"	"numadults_2"	"numadults_3"	"numkids_1"	"numkids_2"	"numkids_3"	"acctype_1"	"acctype_2"	"acctype_3"	"agehigh_1"	"agehigh_2"	"agehigh_3"	"empstathigh_1"	"empstathigh_2"	"empstathigh_3"	"ethnichigh_1"	"ethnichigh_2"	"ethnichigh_3"	"sochigh_1"	"sochigh_2"	"sochigh_3"	"datayear_1"	"datayear_2"	"datayear_3"
17	"333373.68"	0	0	0	1	1	1	0	0	0	3	3	2	0	0	0	4	2	2	59	11	2	2	1	1	1	1	1	6	4	1	17	1	1
17	"333510.29"	0	0	0	5	2	2	1	1	1	1	1	-888	1	1	1	1	1	1	44	8	2	2	1	1	1	1	1	7	2	1	17	1	1
17	"333837.06"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	1	1	1	55	11	2	3	2	1	1	1	1	1	1	1	17	1	1
17	"334579.39"	0	0	0	5	2	2	0	0	0	2	2	1	0	0	0	1	1	1	28	5	1	1	1	1	1	1	1	2	1	1	17	1	1
17	"334582.92"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	4	2	2	33	6	1	1	1	1	1	1	1	5	3	1	17	1	1
17	"334824.09"	0	0	0	3	2	2	0	0	0	1	1	-888	0	0	0	1	1	1	62	12	3	2	1	1	1	1	1	9	4	1	17	1	1
17	"335195.89"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	2	1	1	75	15	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"335258.47"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	3	1	1	72	14	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"335301.32"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	4	2	2	30	6	1	1	1	1	1	1	1	2	1	1	17	1	1
17	"335406.93"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	4	2	2	55	11	2	1	1	1	1	1	1	5	3	1	17	1	1
17	"335692.01"	0	0	0	5	2	2	0	0	0	1	1	-888	0	0	0	1	1	1	20	4	1	1	1	1	1	1	1	8	3	1	17	1	1
17	"335949.17"	0	0	0	2	1	1	0	0	0	2	2	1	1	1	1	3	1	1	36	7	1	1	1	1	1	1	1	5	3	1	17	1	1
17	"336312.02"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	3	1	1	64	12	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"336430.03"	0	0	0	3	2	2	0	0	0	1	1	-888	0	0	0	2	1	1	53	10	2	8	5	3	1	1	1	0	0	1	17	1	1
17	"336604.55"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	3	1	1	78	15	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"336724.44"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	1	1	1	59	11	2	1	1	1	1	1	1	1	1	1	17	1	1
17	"336875.52"	0	0	0	5	2	2	1	1	1	1	1	-888	1	1	1	2	1	1	43	8	2	1	1	1	1	1	1	1	1	1	17	1	1
17	"337351.36"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	2	1	1	80	16	4	5	3	3	1	1	1	0	0	1	17	1	1
17	"337901.31"	0	0	0	3	2	2	0	0	0	2	2	1	0	0	0	4	2	2	75	15	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"337934.92"	0	0	0	4	2	2	0	0	0	3	3	2	1	1	1	3	1	1	56	11	2	1	1	1	1	1	1	4	2	1	17	1	1
17	"338023.91"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	3	1	1	80	16	4	5	3	3	1	1	1	0	0	1	17	1	1
17	"338264.3"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	3	1	1	30	6	1	3	2	1	1	1	1	5	3	1	17	1	1
17	"338344.52"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	2	1	1	53	10	2	1	1	1	1	1	1	9	4	1	17	1	1
17	"339054.53"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	2	1	1	68	13	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"339256.59"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	1	1	1	65	13	3	5	3	3	1	1	1	5	3	1	17	1	1
17	"339797.11"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	2	1	1	44	8	2	1	1	1	1	1	1	1	1	1	17	1	1
17	"339961.03"	0	0	0	5	2	2	0	0	0	1	1	-888	0	0	0	2	1	1	80	16	4	5	3	3	1	1	1	0	0	1	17	1	1
17	"340076.39"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	1	1	1	80	16	4	5	3	3	1	1	1	8	3	1	17	1	1
17	"340315.46"	0	0	0	4	2	2	0	0	0	2	2	1	1	1	1	4	2	2	27	5	1	1	1	1	1	1	1	7	2	1	17	1	1
17	"340601.99"	0	0	0	5	2	2	0	0	0	2	2	1	0	0	0	4	2	2	29	5	1	2	1	1	1	1	1	6	4	1	17	1	1
17	"340879.89"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	1	1	1	66	13	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"340904.63"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	2	1	1	78	15	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"340960.56"	1	1	1	4	2	2	0	0	0	1	1	-888	0	0	0	4	2	2	80	16	4	5	3	3	1	1	1	0	0	1	17	1	1
17	"341338.45"	0	0	0	5	2	2	0	0	0	2	2	1	1	1	1	1	1	1	39	7	1	8	5	3	1	1	1	0	0	1	17	1	1
17	"341570.77"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	3	1	1	78	15	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"341757.47"	0	0	0	2	1	1	0	0	0	1	1	-888	0	0	0	1	1	1	60	12	3	3	2	1	1	1	1	8	3	1	17	1	1
17	"342080.74"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	3	1	1	80	16	4	5	3	3	1	1	1	0	0	1	17	1	1
17	"342124.43"	0	0	0	4	2	2	0	0	0	1	1	-888	0	0	0	2	1	1	70	14	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"342173.67"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	4	2	2	58	11	2	1	1	1	1	1	1	8	3	1	17	1	1
17	"342655.81"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	1	1	1	72	14	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"342980.46"	0	0	0	2	1	1	0	0	0	1	1	-888	0	0	0	4	2	2	57	11	2	1	1	1	1	1	1	1	1	1	17	1	1
17	"343420.67"	0	0	0	2	1	1	0	0	0	2	2	1	2	2	1	3	1	1	46	9	2	1	1	1	1	1	1	3	2	1	17	1	1
