date	cpi	actual_rents_for_housing	rpix	nom_gdp_uk_index	average_earnings_uk	mortgage_interest_payments	equity_prices	nominal_gdp	average_earnings
#	Scotben Price and Income indexes	8th April 2022	Sources:	https://www.fiscalcommission.scot/publications/scotlands-economic-and-fiscal-forecasts-december-2021/		https://obr.uk/		Economic and Fiscal Outlook March 2022	
# Date	D7BT	D7CE	DQAD	YBEU	Obr 1.6 1.18	DOBQ	EQUITY	NGDP	
#	CPI INDEX 00: ALL ITEMS 2015=100	CPI INDEX 04.1 : ACTUAL RENTS FOR HOUSING 2015=100	RPI:all items ex. mortgage interest payments & council tax (Jan 87=100)	Gross Domestic Product index: Current price: Seasonally adjusted	Average earnings index (2008Q1=100)	RPI: housing: mortgage interest payments (Jan 1987=100)	Equity prices		Nominal average hourly wage (£/hour)
#	UPDATED 8th April 2022		Source: OBR Supp Mar 2022 table 1.7		£	MM23			Scotland_s-Economic-and-Fiscal-Forecasts-August-2021-Annex-B-Charts-and-Tables.xls
#	Index, base year = 100	Index, base year = 100	Index, base year = 100			Index, base year = 100	OBR: able 1.9 Economy_supplementary_tables_EFO_March_2021.xlsx		SFC https://www.fiscalcommission.scot/publication-categories/analytical/
2008 Q1	82.9243333333334	83.364	204.1	71.282406686877	100	404.533333333333	2927.05	406.595	14.87
2008 Q2	84.5973333333333	84.729	208.766666666667	71.1612688961873	99.1999586508267	393.666666666667	2855.69	397.158	14.85
2008 Q3	85.6533333333333	85.0446666666667	210.8	70.8750077041329	99.1175097908091	395.7	2483.67	397.67	14.83
2008 Q4	85.7586666666667	85.8983333333333	210.166666666667	70.2381031560119	98.5266232638615	357.9	2209.29	397.329	14.99
2009 Q1	85.4166666666667	85.7956666666667	208.966666666667	68.6673911877135	96.9308082452575	247.166666666667	1984.2	391.692	14.28
2009 Q2	86.3643333333333	86.0716666666667	211.766666666667	68.9061195424255	100.240258919307	213.4	2172.1	383.093	14.98
2009 Q3	86.9293333333333	86.675	213.566666666667	69.4694191371992	100.460081425376	215.5	2634.8	390.032	15.01
2009 Q4	87.5623333333333	86.7513333333333	216.033333333333	69.1299495451347	100.687363188112	218.133333333333	2760.8	392.303	15.15
2010 Q1	88.2136666666667	86.7676666666667	218.466666666667	70.2647073560169	100.507925841811	220.166666666667	2910.2	401.292	15.43
2010 Q2	89.3496666666666	87.487	222.7	71.4517867602425	100.187207149965	223.3	2543.5	398.864	15.48
2010 Q3	89.6113333333333	87.711	223.566666666667	71.8808238256573	101.088204305182	226.8	2867.6	401.974	15.62
2010 Q4	90.5186666666667	88.068	226.1	72.3437369057453	101.565128429104	228.533333333333	3062.9	410.065	15.66
2011 Q1	91.8466666666666	88.3873333333333	230.133333333333	73.9382152927149	102.754622945527	230.3	3067.7	420.321	15.97
2011 Q2	93.2606666666667	89.4886666666667	234.233333333333	73.3302206419327	102.559286739456	232.066666666667	3096.72	409.198	15.87
2011 Q3	93.8283333333333	90.332	235.533333333333	74.0414395887345	103.16706469291	232.233333333333	2654.38	414.686	15.91
2011 Q4	94.724	90.609	238.033333333333	74.796466784878	102.983008928759	231.666666666667	2857.88	425.304	15.91
2012 Q1	95.0523333333333	91.0273333333333	238.933333333333	75.2274548249599	103.004275548484	232.233333333333	3002.78	429.587	16.09
2012 Q2	95.8303333333333	92.4996666666667	241.6	75.5655055263574	102.958776886019	234.3	2891.45	421.751	16.29
2012 Q3	96.092	93.374	242.366666666667	77.1122737146513	103.562051409072	238.7	2998.86	430.56	16.52
