Name	Coef.	Std. Error	t	Pr(>|t|)	Lower 95%	Upper 95%
(Intercept)	7.383415841043538	0.09257610622571251	79.75509169765486	0.0	7.201957435140938	7.564874246946139
scotland	0.08415769586101138	0.020703947719826636	4.064813966875495	4.8281190789828476e-5	0.04357589238819408	0.12473949933382868
wales	-0.10464735559177239	0.025598674288258016	-4.0879990273470375	4.370560140588323e-5	-0.15482331155865922	-0.05447139962488557
london	-0.12790125407284905	0.02280200683979319	-5.609210407289269	2.0633129611529957e-8	-0.17259546277548152	-0.08320704537021659
detatched	0.5760646015147887	0.03850955848910103	14.959003014221167	2.7862652122061946e-50	0.5005820242025838	0.6515471788269935
semi	0.35339896694818435	0.037890788271534644	9.326777907486143	1.2187719149466895e-20	0.27912924100635195	0.42766869289001674
terraced	0.20932898860381097	0.037882565387509434	5.525734238495646	3.3279885668732417e-8	0.1350753803351879	0.28358259687243403
purpose_build_flat	-0.07376184280150307	0.03970679035466768	-1.8576631891585789	0.0632336722886304	-0.15159111403591546	0.004067428432909331
owner	0.6161038238199804	0.017909273407181295	34.401385796753424	5.312953452632532e-251	0.5809998608663264	0.6512077867736344
mortgaged	0.5119913783680738	0.018768519526969427	27.27926289723426	1.6966005369431388e-160	0.47520320727982185	0.5487795494563259
female	0.011160372379914687	0.012367959129886091	0.9023616801050566	0.3668772108893954	-0.013082061650588001	0.035402806410417376
employee	-0.10212863380162092	0.02260436736206386	-4.518092993525665	6.280800976745934e-6	-0.14643544940646258	-0.05782181819677924
selfemp	0.06272722150520925	0.02674209621919554	2.3456359213973474	0.019005773685357583	0.010310044457408477	0.11514439855301002
unemployed	-0.1766508305858262	0.06218510429692159	-2.8407258069770758	0.004506304377498063	-0.2985398401440212	-0.054761821027631205
student	-0.09241973876758741	0.11971140203878003	-0.7720211875694882	0.4401123217241618	-0.32706603215737146	0.14222655462219663
inactive	-0.1676058259191794	0.04311347407800247	-3.8875509223854436	0.00010163506716362254	-0.2521125371870221	-0.08309911465133674
sick	-0.4602858624575411	0.035219608695934115	-13.069022612698086	7.530408455278224e-39	-0.5293198098877316	-0.39125191502735057
age_25_34	0.1239380225310002	0.07190840350672838	1.7235540839034686	0.08480606684188122	-0.01700962371713921	0.2648856687791396
age_35_44	0.3262667977825865	0.07088939118690839	4.602477074776181	4.2043310615792795e-6	0.18731651736336644	0.4652170782018066
age_45_54	0.450317577677745	0.06996412017250375	6.4364073551906404	1.255183267614979e-10	0.3131809207748607	0.5874542345806293
age_55_64	0.5605928518550852	0.07001920061977103	8.00627323495597	1.2560773901112477e-15	0.42334823177935854	0.6978374719308119
age_65_74	0.5015752833575625	0.07196041280827586	6.970155725675304	3.2789686551650467e-12	0.36052569368864557	0.6426248730264794
age_75_plus	0.4257527091388833	0.07297458979398154	5.834259710686261	5.4984875773393596e-9	0.2827152313784045	0.5687901868993621
log(weekly_gross_income)	0.27966398879347604	0.009254198344208805	30.22022852670834	1.3474082658725902e-195	0.2615248366093003	0.29780314097765176
managerial	0.22744481858268165	0.014923946672864733	15.24025940110267	4.1350239293680566e-52	0.19819239391890484	0.25669724324645843
intermediate	0.16646738955440166	0.017485743760529224	9.520177799366502	1.948705627740732e-21	0.13219358697006148	0.20074119213874184
num_adults	0.08908516803468221	0.00848037900189069	10.504856919109486	9.790155394152276e-26	0.07246277897695828	0.10570755709240613
num_children	0.014448727767462559	0.009276671902296564	1.557533555098093	0.11936197436637275	-0.003734474833087557	0.03263193036801267
