Name	Coef.	Std. Error	z	Pr(>|z|)	Lower 95%	Upper 95%
(Intercept)	0.21476670046015917	0.17847368642758954	1.203352184621874	0.22884006286763456	-0.13503529712601203	0.5645686980463304
scotland	-0.09737473132890953	0.04701027413320854	-2.071350000065688	0.03832609984944684	-0.18951317553335334	-0.005236287124465722
wales	0.024759841392758348	0.05693456171060729	0.4348824448427329	0.663647757716884	-0.08682984903560531	0.136349531821122
london	-0.18109743413748902	0.049584664163020147	-3.652287197954848	0.0002599149618024878	-0.2782815900825226	-0.08391327819245545
detatched	-0.27461386546098165	0.08087323151363124	-3.3956089094164033	0.0006847612531352557	-0.4331224865410689	-0.11610524438089442
semi	-0.01635294510584346	0.07729746524286486	-0.2115586203824835	0.8324513946997073	-0.1678531930780955	0.13514730286640858
terraced	0.0417909138253159	0.07654941095848433	0.5459338393600535	0.5851114163795108	-0.10824317469106941	0.1918250023417012
purpose_build_flat	-0.024498050356340048	0.07973792583928768	-0.30723209938663354	0.7586667144816387	-0.18078151320326996	0.13178541249058984
owner	-0.7897776521149309	0.03925737818830881	-20.117941863731836	5.139762433838526e-90	-0.8667206994914846	-0.7128346047383772
mortgaged	-0.1414390004949966	0.03528909587015556	-4.008008621570081	6.12328854826282e-5	-0.2106043574474828	-0.07227364354251042
female	0.10879817636084452	0.02691887846576866	4.041705396426434	5.306387285368093e-5	0.05603814406372702	0.161558208657962
employee	0.32427539379475623	0.05773158723846145	5.6169492180308564	1.9435851378319042e-8	0.21112356203703936	0.4374272255524731
selfemp	0.28703181753383433	0.06638164986915492	4.3239632955734555	1.5325080470549535e-5	0.15692617455594246	0.4171374605117262
unemployed	0.21912201044316543	0.11983034107961586	1.8286020758096624	0.06745924150981837	-0.015741142328032615	0.45398516321436344
student	0.28040468001835117	0.21451619492185517	1.307149234678986	0.19116203273322283	-0.14003933612905978	0.7008486961657621
inactive	0.11911202750524952	0.09051201470268425	1.315980291638753	0.18818065764798228	-0.05828826148017177	0.2965123164906708
sick	0.40568929879288596	0.07311318483502531	5.548784391054705	2.876626643710871e-8	0.262390089721216	0.5489885078645559
age_25_34	0.11945107213725885	0.12150634940707777	0.9830850216482662	0.32556559549945674	-0.11869699659355377	0.3575991408680715
age_35_44	-0.23492645208232557	0.12026510397408882	-1.9534049721766389	0.05077162753040323	-0.47064172446850505	0.0007888203038538821
age_45_54	-0.36439142071963654	0.11892613536768996	-3.0640146473525696	0.002183882173243521	-0.5974823628608444	-0.13130047857842864
age_55_64	-0.5441624832718129	0.11975610984656915	-4.543922510250131	5.521696327673888e-6	-0.7788801454997114	-0.30944482104391446
age_65_74	-0.5600444874352366	0.12759900549201336	-4.389097589559903	1.1382198673250156e-5	-0.8101339426627119	-0.3099550322077614
age_75_plus	-0.8935610963017652	0.13529214709526738	-6.604678212938366	3.983817134946203e-11	-1.158728831999585	-0.6283933606039454
log(weekly_gross_income)	-0.12337263503409361	0.020233823909137832	-6.097346482212741	1.0784360400308571e-9	-0.1630302011655293	-0.08371506890265794
managerial	-0.1348483446449541	0.03294555602035433	-4.093066286744181	4.257059573095162e-5	-0.19942044789549546	-0.07027624139441274
intermediate	-0.009252175188828383	0.0387075225250185	-0.2390278319375327	0.8110840014016738	-0.08511752526863768	0.06661317489098091
num_adults	0.1076028244602707	0.01748307769270129	6.1546843382839835	7.52271785417674e-10	0.07333662184366048	0.14186902707688093
num_children	0.021495184519012417	0.016819337756967624	1.2780042133411444	0.20124794066612164	-0.011470111728458882	0.054460480766483715
