Name	Coef.	Std. Error	t	Pr(>|t|)	Lower 95%	Upper 95%
(Intercept)	4.721979289817587	0.4157132517421586	11.358741319957586	2.913149507911597e-29	3.9068430465351183	5.537115533100056
scotland	-0.12219419621852777	0.10665144713203965	-1.1457340664796178	0.2520033606701695	-0.3313178159047493	0.08692942346769374
wales	0.019868292249721024	0.1255067852572427	0.1583045267950919	0.8742282855848675	-0.2262271329317258	0.26596371743116787
london	0.2656692580954429	0.11056754612086259	2.402777916451514	0.016335922853409325	0.04886689782374856	0.48247161836713726
detatched	-0.15189189572808687	0.17368482495520426	-0.874526002874816	0.38190705710646133	-0.4924554816514189	0.18867169019524516
semi	-0.2207672756995284	0.1602189111780904	-1.3779102234325873	0.16834139096898207	-0.534926713276273	0.09339216187721613
terraced	-0.25121322996678186	0.15808370793455345	-1.5891152431140088	0.11214755913842935	-0.5611859317507959	0.058759471817232234
purpose_build_flat	-0.3099236036000805	0.16455020947211332	-1.883459186070522	0.05974197944785212	-0.6325759102521544	0.012728703051993473
owner	0.5208945371787637	0.10316903502903683	5.048942611822999	4.7281513439047594e-7	0.318599278886621	0.7231897954709063
mortgaged	0.3615326924370532	0.0712977217663837	5.070746771147363	4.2216473718584553e-7	0.22173114213358744	0.501334242740519
female	-0.17217075765106193	0.059067369022991374	-2.914820153646021	0.003587244820697689	-0.28799086462192097	-0.05635065068020291
employee	0.5596715165558276	0.16270122771525802	3.439872731232881	0.0005905228661429143	0.2406447186814138	0.8786983144302414
selfemp	0.5852617530858865	0.18133302063126816	3.227551998242988	0.0012629863935058768	0.22970148022715042	0.9408220259446225
unemployed	0.34348887010235957	0.2540706987904376	1.351942084378946	0.17650330899113134	-0.1546964392960567	0.8416741795007758
student	0.5571179145059449	0.3944606121961938	1.4123537237447927	0.15795724458130558	-0.21634586178940207	1.330581690801292
inactive	-0.1556919112278149	0.2101873916825824	-0.7407290702904545	0.45891999604348044	-0.5678302304261342	0.25644640797050444
sick	-0.11005797010528054	0.18402009639253677	-0.5980758203197208	0.5498378350984122	-0.4708870979554721	0.250771157744911
age_25_34	0.21042658897624372	0.20885222933802078	1.0075381509846126	0.31376351112892426	-0.19909372559230448	0.619946903544792
age_35_44	-0.08429637591293163	0.2086773563162174	-0.40395554841702064	0.6862763339295074	-0.49347379706288685	0.32488104523702366
age_45_54	-0.17679438691615607	0.2073149333287677	-0.8527817271888899	0.3938534807734242	-0.5833003503940325	0.22971157656172037
age_55_64	-0.25050775450434315	0.21095024909712207	-1.1875205437136445	0.23512333927761428	-0.6641418949795693	0.16312638597088303
age_65_74	-0.18336149002394914	0.2497050673145608	-0.7343122508321519	0.46282009408305047	-0.6729866093733623	0.3062636293254641
age_75_plus	-0.2732820153076647	0.2851549421464807	-0.958363243682738	0.3379625724150248	-0.8324177352314557	0.28585370461612625
log(weekly_gross_income)	0.44249895041104553	0.056095207194421	7.888355753413719	4.355817143055927e-15	0.33250669910082603	0.552491201721265
managerial	0.23566849064844034	0.07179039596974289	3.28273005692525	0.0010407351966814594	0.0949008980126568	0.37643608328422384
intermediate	0.18750687747177805	0.08480454889158819	2.211047401613818	0.02711328301305304	0.021220955367882655	0.35379279957567344
num_adults	0.18106181765809118	0.03941606924273151	4.593604109610188	4.549584394437562e-6	0.1037742487080165	0.25834938660816587
num_children	-0.06317943728822058	0.03286760491099893	-1.9222403780044828	0.05467712901335184	-0.12762668759974363	0.0012678130233024776
