Name	Coef.	Std. Error	z	Pr(>|z|)	Lower 95%	Upper 95%
(Intercept)	-2.8762205754299393	0.20233149065407155	-14.215387659785724	7.354305508570864e-46	-3.272783010050223	-2.4796581408096556
scotland	-0.048886905477182725	0.04937604551152891	-0.9900935761606916	0.3221283829187708	-0.14566217637879014	0.0478883654244247
wales	-0.14488675894173494	0.05936588332763904	-2.4405727805330213	0.014663990804555679	-0.26124175217431456	-0.02853176570915536
london	-0.13368782786078848	0.05360112220946001	-2.494123674097145	0.012626854085924108	-0.23874409692226028	-0.028631558799316656
detatched	0.367890671554201	0.08263459123850724	4.4520178056228605	8.506711011381244e-6	0.20592984884953744	0.5298514942588646
semi	0.31869479357775	0.07924922520940351	4.021424723530728	5.784719473744996e-5	0.1633691663646151	0.4740204207908849
terraced	0.23759101732347976	0.07864912501507478	3.020898417851952	0.0025202589620959364	0.08344156487834467	0.3917404697686149
purpose_build_flat	0.156667453877337	0.08103002496674065	1.9334494089276446	0.05318085962506459	-0.002148476723856374	0.31548338447853036
unemployed	-0.0955281672773722	0.12315608121576031	-0.7756674809262073	0.43794534530912477	-0.3369096509373527	0.14585331638260832
student	-0.11385642713641637	0.2295303779694564	-0.496040777450239	0.6198656413309949	-0.5637277013144176	0.3360148470415849
inactive	-0.46305886752613107	0.0887173569601592	-5.219484477361961	1.7942185141305664e-7	-0.6369416919716273	-0.2891760430806348
sick	-0.8402514771173621	0.07207344733841015	-11.658266784049976	2.0823809699755802e-31	-0.9815128381422905	-0.6989901160924338
female	-0.19209894184796436	0.02973796231393612	-6.459721073691082	1.0489614204563235e-10	-0.2503842769568887	-0.13381360673904005
age_25_34	0.5236690098454917	0.13939216748320338	3.7568036949320938	0.0001720973891198952	0.25046538185143735	0.7968726378395461
age_35_44	0.6750190130717855	0.1373711536356444	4.913833764999662	8.931248480586768e-7	0.4057764994312035	0.9442615267123675
age_45_54	0.7419363339135864	0.13553772068060882	5.47402103405546	4.399368118864786e-8	0.47628728283294297	1.0075853849942298
age_55_64	0.8404375032681921	0.13617324549237186	6.171825458292918	6.750600069527232e-10	0.5735428464452115	1.1073321600911727
age_65_74	0.25399556908335524	0.14127878277845915	1.7978323714867261	0.07220357577611125	-0.0229057569420828	0.5308968951087933
age_75_plus	0.10361095976791741	0.14434117456462117	0.7178198464883009	0.4728683745901784	-0.17929254386494953	0.3865144634007843
employee	0.25479393579155324	0.061327039627155994	4.154675284191101	3.257498180190224e-5	0.1345951468438666	0.3749927247392399
selfemp	-0.6041883568474975	0.06374486640577018	-9.47822767407677	2.5863846783321575e-21	-0.7291259992021245	-0.4792507144928705
owner	0.7774739412971658	0.03899158797183401	19.939530081687938	1.8479245236764884e-88	0.7010518331723459	0.8538960494219858
mortgaged	0.5177372068225395	0.046503837517153396	11.133214686456082	8.646006096655956e-29	0.4265913601460162	0.6088830534990629
log(weekly_gross_income)	0.4557604852681633	0.024984003726262353	18.242091630377203	2.3913009713441926e-74	0.4067927377750745	0.5047282327612521
managerial	0.42509478879218915	0.037686593117163845	11.27973514269682	1.6524272423728864e-29	0.35123042358253276	0.49895915400184554
intermediate	0.1560715552699918	0.038630387809185526	4.040123957359836	5.342295828265137e-5	0.08035738645517287	0.23178572408481074
num_adults	0.013447073857860205	0.022778159270441165	0.5903494526579348	0.5549563913747839	-0.031197297946321714	0.05809144566204212
num_children	-0.16905765849970972	0.022523767294604223	-7.505745210758284	6.108011816757422e-14	-0.21320343119329524	-0.1249118858061242
