Name	Coef.	Std. Error	t	Pr(>|t|)	Lower 95%	Upper 95%
(Intercept)	9983.797641446805	10147.230350185187	0.983893860383745	0.3251813283733749	-9905.78638557809	29873.381668471702
scotland	446.72028295625324	2620.4576491519083	0.17047414717838733	0.8646392384377082	-4689.638191562442	5583.078757474948
wales	-4629.758181445342	3239.7984635627977	-1.4290265994984175	0.1530144679530957	-10980.08645308869	1720.5700901980044
london	-59.08421690469253	2886.370416919664	-0.0204700743045126	0.9836686180912785	-5716.658250334891	5598.489816525505
detatched	17234.86510511541	4871.494407253352	3.5379010349378146	0.0004043673359538525	7686.249965174382	26783.480245056435
semi	-1880.9807363499106	4795.960248054901	-0.39220106903779706	0.6949144387205644	-11281.541387091247	7519.5799143914255
terraced	-8339.646776615753	4794.988934416306	-1.739242131875939	0.08200979496449895	-17738.30355570298	1059.0100024714739
purpose_build_flat	-13459.663539761146	5025.522971485593	-2.678261270743399	0.00740746972525811	-23310.19003532674	-3609.1370441955514
owner	6758.058974745742	2262.8201804474143	2.9865647447997876	0.0028252242705264427	2322.7056257173435	11193.41232377414
mortgaged	-1749.7980605191635	2367.6561658868654	-0.7390423008755296	0.45989124061880304	-6390.6404020602695	2891.044281021943
female	-2627.552620588604	1561.7379593312241	-1.6824542202417803	0.09249866538605601	-5688.714858789483	433.6096176122742
employee	-6578.348360777035	2809.6003590502532	-2.3413822323829554	0.01922366504664657	-12085.4454202884	-1071.25130126567
selfemp	8398.33550341532	3368.9890807393626	2.4928354773925863	0.01268194113696058	1794.7807308293186	15001.890276001319
unemployed	706.9959745249756	7830.649028400321	0.09028574412680629	0.9280611834652607	-14641.857501898432	16055.849450948384
student	5656.8796585879045	15151.511151222703	0.3733541560395052	0.7088894049485563	-24041.59409027588	35355.35340745169
inactive	-1135.0241637782149	5450.618754872191	-0.20823767260618645	0.835045822297391	-11818.780812934183	9548.732485377754
sick	-14568.184315745813	4457.67051228543	-3.268115998164423	0.0010847507533744897	-23305.66332816166	-5830.705303329967
age_25_34	2175.82751941204	9099.115012914597	0.23912518045148728	0.8110113219606156	-15659.34586044779	20011.00089927187
age_35_44	10990.642018598512	8970.035492678102	1.2252618205992334	0.2204931071584543	-6591.522621406999	28572.806658604022
age_45_54	15904.995506675239	8855.072823145762	1.7961450825228782	0.07248871750697929	-1451.8308295050465	33261.82184285553
age_55_64	25158.929594882786	8862.1175505612	2.838929798814233	0.0045317337720266	7788.294890010617	42529.56429975496
age_65_74	25129.040459187847	9101.643289224889	2.7609344445455495	0.005769638009975368	7288.911405475974	42969.16951289972
age_75_plus	18590.593288450204	9232.929087275255	2.0135098095870356	0.04407632943655507	493.1309702155522	36688.05560668485
weekly_gross_income	30.04245791286154	0.8785928990802995	34.193831914996835	4.2104305246589395e-248	28.320328160333936	31.764587665389143
managerial	12304.438408929136	1858.178705802601	6.621773444343985	3.652515594884201e-11	8662.222727325465	15946.654090532807
intermediate	10596.928893057155	2211.7332279747984	4.791232848077418	1.6712118742561106e-6	6261.7110685830185	14932.14671753129
num_adults	1006.5768792557772	1020.003804321431	0.9868363970714931	0.3237365154641215	-992.7323582216111	3005.886116733165
num_children	225.68193322895172	1172.5102360054047	0.19247758040716278	0.8473703650792467	-2072.555128192511	2523.918994650415
