bname,bcode,room,bed_1,bed_2,bed_3,bed_4
LONDON,LONDON,118.726923076923,247.395384615385,305.462307692308,373.617692307692,471.603846153846
ENGLAND,ENGLAND,76.3435251798561,118.556115107914,146.757985611511,176.499424460432,231.558057553957
WALES,WALES,70.77,109.32,113.92,126.58,172.6
SCOTLAND,SCOTLAND,71.485,94.4833333333333,120.375,147.606666666667,225.662222222222
